stop_id;funfact;funfactSource
IDFM:22101;"La Défense (Grande Arche) a été inaugurée en 1989 lors du bicentenaire de la Révolution française.";"https://www.culture.gouv.fr/"
IDFM:463170;"Esplanade de la Défense est située dans un secteur réaménagé à partir des années 1960 en quartier d'affaires majeur.";"https://ressources.ratp.fr/"
IDFM:463257;"Porte Maillot était une porte de l’enceinte de Charles V au XIVe siècle.";"https://archives.paris.fr/"
IDFM:22082;"Franklin D. Roosevelt station est située sur les Champs-Élysées, construite en 1923.";"https://archives.ratp.fr/"
IDFM:22090;"Champs-Élysées - Clemenceau est proche du Grand Palais, site inauguré en 1900.";"https://www.grandpalais.fr/"
IDFM:463019;"Bastille était une prison d'État prise d'assaut en 1789.";"https://www.mairie-paris.fr/"
IDFM:463197;"Gare de Lyon est une station clé desservant la plus grande gare ferroviaire de Paris.";"https://www.sncf.com/en"
IDFM:22091;"Hôtel de Ville est proche de l'hôtel de ville de Paris, chef-lieu et siège de la mairie.";"https://www.paris.fr/pages/rendez-vous-madame-le-maire-260"
IDFM:463185;"George V est située sur l'avenue des Champs-Élysées, l'une des plus célèbres avenues au monde.";"https://en.parisinfo.com/paris-museum-monument/71186/Avenue-des-Champs-Elysees"
IDFM:22100;"Les Sablons est la station la plus proche du Bois de Boulogne populaire pour ses espaces verts.";"https://www.parisinfo.com/musee-monument-paris/71148/Bois-de-Boulogne"
IDFM:463121;"Argentine station est située près du Palais de Chaillot et de plusieurs musées.";"https://en.parisinfo.com/museum-monuments/71242/Palais-de-Chaillot"
IDFM:22079;"Palais Royal - Musée du Louvre est sous le jardin du Palais Royal, ancienne résidence royale.";"https://www.louvre.fr/en"
IDFM:22087;"Châtelet est l'une des plus grandes stations de métro, point névralgique de Paris.";"https://www.ratp.fr/en/plan-metro"
IDFM:22103;"Saint-Mandé est une commune limitrophe de Paris connue pour son Château de Vincennes proche.";"https://www.ville-saint-mande.fr/"
IDFM:463012;"Porte de Vincennes est la porte historique de l'enceinte de Paris vers l'Est.";"https://www.paris.fr/pages/la-porte-de-vincennes-6728"
IDFM:463307;"Saint-Paul (Le Marais) est situé dans le quartier du Marais, riche en histoire et architecture.";"https://en.parisinfo.com/transport/71201/Le-Marais"
IDFM:463160;"Châtelet (station secondaire) dessert également de nombreux commerces et théâtres.";"https://www.ratp.fr/en/plan-metro"
IDFM:463013;"Charles de Gaulle - Etoile est célèbre pour son arc de triomphe monumental au sommet de l'avenue.";"https://www.parisinfo.com/museum-monument/71303/Arc-de-Triomphe"
IDFM:22102;"Esplanade de la Défense (doublon) sert aussi de point central du quartier d'affaires.";"https://www.ladefense.fr/en"
IDFM:22074;"Saint-Paul (Le Marais) est un arrêt populaire pour découvrir l’ambiance locale et l’architecture.";"https://en.parisinfo.com/transport/71201/Le-Marais"
IDFM:22083;"Gare de Lyon (doublon) : connexion principale vers le sud-est de la France.";"https://www.sncf.com/en"
IDFM:22080;"Nation est une grande place historique qui marque la jonction de 7 rues et avenues.";"https://en.parisinfo.com/museum-monument/71331/Place-de-la-Nation"
IDFM:22104;"Château de Vincennes est un ancien château fort royal, site touristique majeur.";"https://www.chateau-vincennes.fr/"
IDFM:463130;"Bérault est une station située dans une banlieue résidentielle calme.";"https://www.ville-vincennes.fr/"
IDFM:462943;"Nation (doublon) est également un hub important de bus et RER.";"https://fr.wikipedia.org/wiki/Nation_(métro_de_Paris)"
IDFM:463294;"Reuilly - Diderot est située dans un quartier commerçant avec des marchés locaux.";"https://www.parisinfo.com/"
IDFM:463150;"Concorde station est construite sous la place de la Concorde, un grand site historique.";"https://en.parisinfo.com/museum-monument/71039/Place-de-la-Concorde"
IDFM:463044;"Pont de Neuilly est la station proche du pont éponyme, reliant Paris à la Défense.";"https://www.paris.fr/pages/le-pont-de-neuilly-2020"
IDFM:22081;"Louvre - Rivoli est proche du célèbre musée du Louvre.";"https://www.louvre.fr/en"
IDFM:463080;"Hôtel de Ville (doublon) est un autre accès vers la mairie de Paris.";"https://www.paris.fr/pages/rendez-vous-madame-le-maire-260"
IDFM:463040;"Saint-Mandé (doublon) est une station desservant une commune calme en proche banlieue.";"https://www.ville-saint-mande.fr/"
IDFM:463218;"Louvre - Rivoli (doublon) est un accès touristique majeur au cœur de Paris.";"https://www.louvre.fr/en"
IDFM:463010;"Champs-Élysées - Clemenceau (doublon) : station clé pour le shopping de luxe.";"https://en.parisinfo.com/shopping/71185/Champs-Elysees"
IDFM:463181;"Franklin D. Roosevelt (doublon) est une station élégante avec un décor inspiré du Président.";"https://archives.ratp.fr/"
IDFM:22088;"Argentine (doublon) station a été inaugurée en 1900 pour l'Exposition Universelle.";"https://archives.paris.fr/"
IDFM:463217;"Les Sablons (doublon) est à proximité du Bois de Boulogne.";"https://www.parisinfo.com/musee-monument-paris/71148/Bois-de-Boulogne"
IDFM:22099;"Pont de Neuilly (doublon) : un point de transition entre Paris et sa banlieue.";"https://www.paris.fr/pages/le-pont-de-neuilly-2020"
IDFM:22086;"Charles de Gaulle - Etoile (doublon) : carrefour de lignes et site touristique important.";"https://www.parisinfo.com/museum-monument/71303/Arc-de-Triomphe"
IDFM:22084;"George V (doublon) station donne accès à des boutiques et hôtels luxueux.";"https://en.parisinfo.com/shopping/71186/Avenue-des-Champs-Elysees"
IDFM:22085;"Concorde (doublon) station est sous une place symbolique de la Révolution française.";"https://en.parisinfo.com/museum-monument/71039/Place-de-la-Concorde"
IDFM:463041;"Tuileries est située près du jardin des Tuileries, très apprécié des Parisiens.";"https://en.parisinfo.com/paris-museum-monument/71199/Jardin-des-Tuileries"
IDFM:22076;"Reuilly - Diderot (doublon) est un quartier dynamique avec plusieurs marchés.";"https://www.parisinfo.com/"
IDFM:22077;"Porte de Vincennes (doublon) station proche de l'entrée de la ville historique.";"https://www.paris.fr/pages/la-porte-de-vincennes-6728"
IDFM:22105;"Bérault (doublon) : zone résidentielle paisible en proche banlieue.";"https://www.ville-vincennes.fr/"
IDFM:463149;"Château de Vincennes (doublon) : château médiéval bien préservé.";"https://www.chateau-vincennes.fr/"
IDFM:22089;"Bastille (doublon) station est un symbole fort de la Révolution française.";"https://www.mairie-paris.fr/"
IDFM:463227;"Palais Royal - Musée du Louvre (doublon) est un centre culturel et historique majeur.";"https://www.louvre.fr/en"
IDFM:22075;"Tuileries (doublon) : un lieu de promenade historique et artistique.";"https://en.parisinfo.com/paris-museum-monument/71199/Jardin-des-Tuileries"
IDFM:22078;"Porte Maillot (doublon) était une porte stratégique contrôlant l'entrée ouest.";"https://archives.paris.fr/"
IDFM:463193;"La Défense (Grande Arche) (doublon) symbolise la modernité parisienne.";"https://www.culture.gouv.fr/"
